ID	Weight	Stimulus	TargetType	CorrectResponse	StimType	BlockType
1	1	VM Stimuli/AF225_NC.bmp	nonlure	nontarget	NeutFace	2-Back
2	1	VM Stimuli/AM245_NC.bmp	nonlure	nontarget	NeutFace	2-Back
3	1	VM Stimuli/AM245_NC.bmp	lure	nontarget	NeutFace	2-Back
4	1	VM Stimuli/AF225_NC.bmp	lure	nontarget	NeutFace	2-Back
5	1	VM Stimuli/LM216_NC.bmp	nonlure	nontarget	NeutFace	2-Back
6	1	VM Stimuli/41M_NC.bmp	nonlure	nontarget	NeutFace	2-Back
7	1	VM Stimuli/LM216_NC.bmp	target	Target	NeutFace	2-Back
8	1	VM Stimuli/WF01_NC.bmp	nonlure	nontarget	NeutFace	2-Back
9	1	VM Stimuli/8F_NC.bmp	nonlure	nontarget	NeutFace	2-Back
10	1	VM Stimuli/WF01_NC.bmp	target	Target	NeutFace	2-Back
