ID	Weight	Stimulus	TargetType	CorrectResponse	StimType	BlockType	TargetStimulus
1	1	VM Stimuli/BF04_FO.bmp	target	Target	NegFace	0-Back	VM Stimuli/BF04_FO.bmp
2	1	VM Stimuli/37M_FO.bmp	nonlure	nontarget	NegFace	0-Back	VM Stimuli/BF04_FO.bmp
3	1	VM Stimuli/37M_FO.bmp	lure	nontarget	NegFace	0-Back	VM Stimuli/BF04_FO.bmp
4	1	VM Stimuli/WM02_FO.bmp	nonlure	nontarget	NegFace	0-Back	VM Stimuli/BF04_FO.bmp
5	1	VM Stimuli/AM03_FO.bmp	nonlure	nontarget	NegFace	0-Back	VM Stimuli/BF04_FO.bmp
6	1	VM Stimuli/BF04_FO.bmp	target	Target	NegFace	0-Back	VM Stimuli/BF04_FO.bmp
7	1	VM Stimuli/WM02_FO.bmp	lure	nontarget	NegFace	0-Back	VM Stimuli/BF04_FO.bmp
8	1	VM Stimuli/WF015_FO.bmp	nonlure	nontarget	NegFace	0-Back	VM Stimuli/BF04_FO.bmp
9	1	VM Stimuli/WF015_FO.bmp	lure	nontarget	NegFace	0-Back	VM Stimuli/BF04_FO.bmp
10	1	VM Stimuli/BM029_FO.bmp	nonlure	nontarget	NegFace	0-Back	VM Stimuli/BF04_FO.bmp
