ID	Weight	Stimulus	TargetType	CorrectResponse	StimType	BlockType
1	1	VM Stimuli/AF03_FO.bmp	nonlure	nontarget	NegFace	2-Back
2	1	VM Stimuli/BF023_FO.bmp	nonlure	nontarget	NegFace	2-Back
3	1	VM Stimuli/WM033_FO.bmp	nonlure	nontarget	NegFace	2-Back
4	1	VM Stimuli/AF03_FO.bmp	lure	nontarget	NegFace	2-Back
5	1	VM Stimuli/WM033_FO.bmp	target	Target	NegFace	2-Back
6	1	VM Stimuli/6F_FO.bmp	nonlure	nontarget	NegFace	2-Back
7	1	VM Stimuli/24M_FO.bmp	nonlure	nontarget	NegFace	2-Back
8	1	VM Stimuli/OM01_FO.bmp	nonlure	nontarget	NegFace	2-Back
9	1	VM Stimuli/6F_FO.bmp	lure	nontarget	NegFace	2-Back
10	1	VM Stimuli/OM01_FO.bmp	target	Target	NegFace	2-Back
