ID	Weight	Stimulus	TargetType	CorrectResponse	StimType	BlockType
1	1	VM Stimuli/22M_HO.bmp	nonlure	nontarget	PosFace	2-Back
2	1	VM Stimuli/HF03_HO.bmp	nonlure	nontarget	PosFace	2-Back
3	1	VM Stimuli/25M_HO.bmp	nonlure	nontarget	PosFace	2-Back
4	1	VM Stimuli/22M_HO.bmp	lure	nontarget	PosFace	2-Back
5	1	VM Stimuli/11F_HO.bmp	nonlure	nontarget	PosFace	2-Back
6	1	VM Stimuli/HF03_HO.bmp	lure	nontarget	PosFace	2-Back
7	1	VM Stimuli/AM01_HO.bmp	nonlure	nontarget	PosFace	2-Back
8	1	VM Stimuli/BF005_HO.bmp	nonlure	nontarget	PosFace	2-Back
9	1	VM Stimuli/AM01_HO.bmp	target	Target	PosFace	2-Back
10	1	VM Stimuli/BF005_HO.bmp	target	Target	PosFace	2-Back
