ID	Weight	Stimulus	TargetType	CorrectResponse	StimType	BlockType	TargetStimulus
1	1	VM Stimuli/PL_003_92016.bmp	nonlure	nontarget	Place	0-Back	VM Stimuli/PL_001_92012.bmp
2	1	VM Stimuli/PL_003_92016.bmp	lure	nontarget	Place	0-Back	VM Stimuli/PL_001_92012.bmp
3	1	VM Stimuli/PL_006_92025.bmp	nonlure	nontarget	Place	0-Back	VM Stimuli/PL_001_92012.bmp
4	1	VM Stimuli/PL_001_92012.bmp	target	Target	Place	0-Back	VM Stimuli/PL_001_92012.bmp
5	1	VM Stimuli/PL_004_92023.bmp	nonlure	nontarget	Place	0-Back	VM Stimuli/PL_001_92012.bmp
6	1	VM Stimuli/PL_005_92024.bmp	nonlure	nontarget	Place	0-Back	VM Stimuli/PL_001_92012.bmp
7	1	VM Stimuli/PL_001_92012.bmp	target	Target	Place	0-Back	VM Stimuli/PL_001_92012.bmp
8	1	VM Stimuli/PL_002_92014.bmp	nonlure	nontarget	Place	0-Back	VM Stimuli/PL_001_92012.bmp
9	1	VM Stimuli/PL_004_92023.bmp	lure	nontarget	Place	0-Back	VM Stimuli/PL_001_92012.bmp
10	1	VM Stimuli/PL_006_92025.bmp	lure	nontarget	Place	0-Back	VM Stimuli/PL_001_92012.bmp
