ID	Weight	Stimulus	TargetType	CorrectResponse	StimType	BlockType
1	1	VM Stimuli/23M_HO.bmp	nonlure	nontarget	PosFace	2-Back
2	1	VM Stimuli/12F_HO.bmp	nonlure	nontarget	PosFace	2-Back
3	1	VM Stimuli/AF02_HO.bmp	nonlure	nontarget	PosFace	2-Back
4	1	VM Stimuli/12F_HO.bmp	target	Target	PosFace	2-Back
5	1	VM Stimuli/WM011_HO.bmp	nonlure	nontarget	PosFace	2-Back
6	1	VM Stimuli/HM04_HO.bmp	nonlure	nontarget	PosFace	2-Back
7	1	VM Stimuli/AF02_HO.bmp	lure	nontarget	PosFace	2-Back
8	1	VM Stimuli/BF037_HO.bmp	nonlure	nontarget	PosFace	2-Back
9	1	VM Stimuli/WM011_HO.bmp	lure	nontarget	PosFace	2-Back
10	1	VM Stimuli/BF037_HO.bmp	target	Target	PosFace	2-Back
