ID	Weight	Stimulus	TargetType	CorrectResponse	StimType	BlockType	TargetStimulus
1	1	VM Stimuli/LF206_NC.bmp	nonlure	nontarget	NeutFace	0-Back	VM Stimuli/AF218_NC.bmp
2	1	VM Stimuli/AF218_NC.bmp	target	Target	NeutFace	0-Back	VM Stimuli/AF218_NC.bmp
3	1	VM Stimuli/42M_NC.bmp	nonlure	nontarget	NeutFace	0-Back	VM Stimuli/AF218_NC.bmp
4	1	VM Stimuli/BM09_NC.bmp	nonlure	nontarget	NeutFace	0-Back	VM Stimuli/AF218_NC.bmp
5	1	VM Stimuli/BM09_NC.bmp	lure	nontarget	NeutFace	0-Back	VM Stimuli/AF218_NC.bmp
6	1	VM Stimuli/AF218_NC.bmp	target	Target	NeutFace	0-Back	VM Stimuli/AF218_NC.bmp
7	1	VM Stimuli/7F_NC.bmp	nonlure	nontarget	NeutFace	0-Back	VM Stimuli/AF218_NC.bmp
8	1	VM Stimuli/7F_NC.bmp	lure	nontarget	NeutFace	0-Back	VM Stimuli/AF218_NC.bmp
9	1	VM Stimuli/42M_NC.bmp	lure	nontarget	NeutFace	0-Back	VM Stimuli/AF218_NC.bmp
10	1	VM Stimuli/LM207_NC.bmp	nonlure	nontarget	NeutFace	0-Back	VM Stimuli/AF218_NC.bmp
