ID	Weight	Stimulus	TargetType	CorrectResponse	StimType	BlockType	TargetStimulus
1	1	VM Stimuli/BF003_FO.bmp	nonlure	nontarget	NegFace	0-Back	VM Stimuli/39M_FO.bmp
2	1	VM Stimuli/HM05_FO.bmp	nonlure	nontarget	NegFace	0-Back	VM Stimuli/39M_FO.bmp
3	1	VM Stimuli/HM05_FO.bmp	lure	nontarget	NegFace	0-Back	VM Stimuli/39M_FO.bmp
4	1	VM Stimuli/10F_FO.bmp	nonlure	nontarget	NegFace	0-Back	VM Stimuli/39M_FO.bmp
5	1	VM Stimuli/BF09_FO.bmp	nonlure	nontarget	NegFace	0-Back	VM Stimuli/39M_FO.bmp
6	1	VM Stimuli/28M_FO.bmp	nonlure	nontarget	NegFace	0-Back	VM Stimuli/39M_FO.bmp
7	1	VM Stimuli/BF003_FO.bmp	lure	nontarget	NegFace	0-Back	VM Stimuli/39M_FO.bmp
8	1	VM Stimuli/39M_FO.bmp	target	Target	NegFace	0-Back	VM Stimuli/39M_FO.bmp
9	1	VM Stimuli/10F_FO.bmp	lure	nontarget	NegFace	0-Back	VM Stimuli/39M_FO.bmp
10	1	VM Stimuli/39M_FO.bmp	target	Target	NegFace	0-Back	VM Stimuli/39M_FO.bmp
