ID	Weight	Stimulus	TargetType	CorrectResponse	StimType	BlockType	TargetStimulus
1	1	VM Stimuli/34M_HO.bmp	target	Target	PosFace	0-Back	VM Stimuli/34M_HO.bmp
2	1	VM Stimuli/BM08_HO.bmp	nonlure	nontarget	PosFace	0-Back	VM Stimuli/34M_HO.bmp
3	1	VM Stimuli/HF04_HO.bmp	nonlure	nontarget	PosFace	0-Back	VM Stimuli/34M_HO.bmp
4	1	VM Stimuli/BF002_HO.bmp	nonlure	nontarget	PosFace	0-Back	VM Stimuli/34M_HO.bmp
5	1	VM Stimuli/BM08_HO.bmp	lure	nontarget	PosFace	0-Back	VM Stimuli/34M_HO.bmp
6	1	VM Stimuli/45M_HO.bmp	nonlure	nontarget	PosFace	0-Back	VM Stimuli/34M_HO.bmp
7	1	VM Stimuli/45M_HO.bmp	lure	nontarget	PosFace	0-Back	VM Stimuli/34M_HO.bmp
8	1	VM Stimuli/BF002_HO.bmp	lure	nontarget	PosFace	0-Back	VM Stimuli/34M_HO.bmp
9	1	VM Stimuli/34M_HO.bmp	target	Target	PosFace	0-Back	VM Stimuli/34M_HO.bmp
10	1	VM Stimuli/WF07_HO.bmp	nonlure	nontarget	PosFace	0-Back	VM Stimuli/34M_HO.bmp
