ID	Weight	Stimulus	TargetType	CorrectResponse	StimType	BlockType
1	1	VM Stimuli/PL_034_FOXISLAND.bmp	nonlure	nontarget	Place	2-Back
2	1	VM Stimuli/PL_044_SCENE01.bmp	nonlure	nontarget	Place	2-Back
3	1	VM Stimuli/PL_044_SCENE01.bmp	lure	nontarget	Place	2-Back
4	1	VM Stimuli/PL_041_LEXINGTON17.bmp	nonlure	nontarget	Place	2-Back
5	1	VM Stimuli/PL_043_LEXINGTON19.bmp	nonlure	nontarget	Place	2-Back
6	1	VM Stimuli/PL_041_LEXINGTON17.bmp	target	Target	Place	2-Back
7	1	VM Stimuli/PL_043_LEXINGTON19.bmp	target	Target	Place	2-Back
8	1	VM Stimuli/PL_040_LEXINGTON16.bmp	nonlure	nontarget	Place	2-Back
9	1	VM Stimuli/PL_040_LEXINGTON16.bmp	lure	nontarget	Place	2-Back
10	1	VM Stimuli/o89.1.bmp	nonlure	nontarget	Place	2-Back
