ID	Weight	Stimulus	TargetType	CorrectResponse	StimType	BlockType
1	1	VM Stimuli/LM211_NC.bmp	nonlure	nontarget	NeutFace	2-Back
2	1	VM Stimuli/AF216_NC.bmp	nonlure	nontarget	NeutFace	2-Back
3	1	VM Stimuli/AF216_NC.bmp	lure	nontarget	NeutFace	2-Back
4	1	VM Stimuli/WM04_NC.bmp	nonlure	nontarget	NeutFace	2-Back
5	1	VM Stimuli/WM04_NC.bmp	lure	nontarget	NeutFace	2-Back
6	1	VM Stimuli/14F_NC.bmp	nonlure	nontarget	NeutFace	2-Back
7	1	VM Stimuli/AM210_NC.bmp	nonlure	nontarget	NeutFace	2-Back
8	1	VM Stimuli/WF02_NC.bmp	nonlure	nontarget	NeutFace	2-Back
9	1	VM Stimuli/AM210_NC.bmp	target	Target	NeutFace	2-Back
10	1	VM Stimuli/WF02_NC.bmp	target	Target	NeutFace	2-Back
