ID	Weight	Stimulus	TargetType	CorrectResponse	StimType	BlockType	TargetStimulus
1	1	VM Stimuli/22M_HO.bmp	target	Target	PosFace	0-Back	VM Stimuli/22M_HO.bmp
2	1	VM Stimuli/AM01_HO.bmp	nonlure	nontarget	PosFace	0-Back	VM Stimuli/22M_HO.bmp
3	1	VM Stimuli/11F_HO.bmp	nonlure	nontarget	PosFace	0-Back	VM Stimuli/22M_HO.bmp
4	1	VM Stimuli/22M_HO.bmp	target	Target	PosFace	0-Back	VM Stimuli/22M_HO.bmp
5	1	VM Stimuli/11F_HO.bmp	lure	nontarget	PosFace	0-Back	VM Stimuli/22M_HO.bmp
6	1	VM Stimuli/HF03_HO.bmp	nonlure	nontarget	PosFace	0-Back	VM Stimuli/22M_HO.bmp
7	1	VM Stimuli/25M_HO.bmp	nonlure	nontarget	PosFace	0-Back	VM Stimuli/22M_HO.bmp
8	1	VM Stimuli/BF005_HO.bmp	nonlure	nontarget	PosFace	0-Back	VM Stimuli/22M_HO.bmp
9	1	VM Stimuli/AM01_HO.bmp	lure	nontarget	PosFace	0-Back	VM Stimuli/22M_HO.bmp
10	1	VM Stimuli/HF03_HO.bmp	lure	nontarget	PosFace	0-Back	VM Stimuli/22M_HO.bmp
