ID	Weight	Stimulus	TargetType	CorrectResponse	StimType	BlockType
1	1	VM Stimuli/BM002_HO.bmp	nonlure	nontarget	PosFace	2-Back
2	1	VM Stimuli/HM01_HO.bmp	nonlure	nontarget	PosFace	2-Back
3	1	VM Stimuli/18F_HO.bmp	nonlure	nontarget	PosFace	2-Back
4	1	VM Stimuli/HM01_HO.bmp	target	Target	PosFace	2-Back
5	1	VM Stimuli/18F_HO.bmp	target	Target	PosFace	2-Back
6	1	VM Stimuli/BF07_HO.bmp	nonlure	nontarget	PosFace	2-Back
7	1	VM Stimuli/35M_HO.bmp	nonlure	nontarget	PosFace	2-Back
8	1	VM Stimuli/WF038_HO.bmp	nonlure	nontarget	PosFace	2-Back
9	1	VM Stimuli/WF038_HO.bmp	lure	nontarget	PosFace	2-Back
10	1	VM Stimuli/BF07_HO.bmp	lure	nontarget	PosFace	2-Back
