ID	Weight	Stimulus	TargetType	CorrectResponse	StimType	BlockType
1	1	VM Stimuli/2F_HO.bmp	nonlure	nontarget	PosFace	2-Back
2	1	VM Stimuli/BF01_HO.bmp	nonlure	nontarget	PosFace	2-Back
3	1	VM Stimuli/BM030_HO.bmp	nonlure	nontarget	PosFace	2-Back
4	1	VM Stimuli/BM030_HO.bmp	lure	nontarget	PosFace	2-Back
5	1	VM Stimuli/2F_HO.bmp	lure	nontarget	PosFace	2-Back
6	1	VM Stimuli/AM02_HO.bmp	nonlure	nontarget	PosFace	2-Back
7	1	VM Stimuli/BF009_HO.bmp	nonlure	nontarget	PosFace	2-Back
8	1	VM Stimuli/AM02_HO.bmp	target	Target	PosFace	2-Back
9	1	VM Stimuli/BF009_HO.bmp	target	Target	PosFace	2-Back
10	1	VM Stimuli/36M_HO.bmp	nonlure	nontarget	PosFace	2-Back
