ID	Weight	Stimulus	TargetType	CorrectResponse	StimType	BlockType
1	1	VM Stimuli/PL_091_O5.1.bmp	nonlure	nontarget	Place	2-Back
2	1	VM Stimuli/PL_091_O5.1.bmp	lure	nontarget	Place	2-Back
3	1	VM Stimuli/PL_093_O57.1.bmp	nonlure	nontarget	Place	2-Back
4	1	VM Stimuli/PL_093_O57.1.bmp	lure	nontarget	Place	2-Back
5	1	VM Stimuli/PL_090_O47.1.bmp	nonlure	nontarget	Place	2-Back
6	1	VM Stimuli/PL_089_O45.1.bmp	nonlure	nontarget	Place	2-Back
7	1	VM Stimuli/PL_092_O50.1.bmp	nonlure	nontarget	Place	2-Back
8	1	VM Stimuli/PL_073_P53.1.bmp	nonlure	nontarget	Place	2-Back
9	1	VM Stimuli/PL_092_O50.1.bmp	target	Target	Place	2-Back
10	1	VM Stimuli/PL_073_P53.1.bmp	target	Target	Place	2-Back
