ID	Weight	Stimulus	TargetType	CorrectResponse	StimType	BlockType	TargetStimulus
1	1	VM Stimuli/38M_FO.bmp	target	Target	NegFace	0-Back	VM Stimuli/38M_FO.bmp
2	1	VM Stimuli/38M_FO.bmp	target	Target	NegFace	0-Back	VM Stimuli/38M_FO.bmp
3	1	VM Stimuli/HF01_FO.bmp	nonlure	nontarget	NegFace	0-Back	VM Stimuli/38M_FO.bmp
4	1	VM Stimuli/WM006_FO.bmp	nonlure	nontarget	NegFace	0-Back	VM Stimuli/38M_FO.bmp
5	1	VM Stimuli/BF08_FO.bmp	nonlure	nontarget	NegFace	0-Back	VM Stimuli/38M_FO.bmp
6	1	VM Stimuli/BM028_FO.bmp	nonlure	nontarget	NegFace	0-Back	VM Stimuli/38M_FO.bmp
7	1	VM Stimuli/15F_FO.bmp	nonlure	nontarget	NegFace	0-Back	VM Stimuli/38M_FO.bmp
8	1	VM Stimuli/BF08_FO.bmp	lure	nontarget	NegFace	0-Back	VM Stimuli/38M_FO.bmp
9	1	VM Stimuli/15F_FO.bmp	lure	nontarget	NegFace	0-Back	VM Stimuli/38M_FO.bmp
10	1	VM Stimuli/WM006_FO.bmp	lure	nontarget	NegFace	0-Back	VM Stimuli/38M_FO.bmp
