ID	Weight	Stimulus	TargetType	CorrectResponse	StimType	BlockType
1	1	VM Stimuli/WF05_HO.bmp	nonlure	nontarget	PosFace	2-Back
2	1	VM Stimuli/BF018_HO.bmp	nonlure	nontarget	PosFace	2-Back
3	1	VM Stimuli/WF05_HO.bmp	target	Target	PosFace	2-Back
4	1	VM Stimuli/BM009_HO.bmp	nonlure	nontarget	PosFace	2-Back
5	1	VM Stimuli/31M_HO.bmp	nonlure	nontarget	PosFace	2-Back
6	1	VM Stimuli/HF05_HO.bmp	nonlure	nontarget	PosFace	2-Back
7	1	VM Stimuli/BM009_HO.bmp	lure	nontarget	PosFace	2-Back
8	1	VM Stimuli/HF05_HO.bmp	target	Target	PosFace	2-Back
9	1	VM Stimuli/31M_HO.bmp	lure	nontarget	PosFace	2-Back
10	1	VM Stimuli/BM01_HO.bmp	nonlure	nontarget	PosFace	2-Back
