ID	Weight	Stimulus	TargetType	CorrectResponse	StimType	BlockType	TargetStimulus
1	1	VM Stimuli/BF037_HO.bmp	nonlure	nontarget	PosFace	0-Back	VM Stimuli/AF02_HO.bmp
2	1	VM Stimuli/BF037_HO.bmp	lure	nontarget	PosFace	0-Back	VM Stimuli/AF02_HO.bmp
3	1	VM Stimuli/WM011_HO.bmp	nonlure	nontarget	PosFace	0-Back	VM Stimuli/AF02_HO.bmp
4	1	VM Stimuli/HM04_HO.bmp	nonlure	nontarget	PosFace	0-Back	VM Stimuli/AF02_HO.bmp
5	1	VM Stimuli/12F_HO.bmp	nonlure	nontarget	PosFace	0-Back	VM Stimuli/AF02_HO.bmp
6	1	VM Stimuli/12F_HO.bmp	lure	nontarget	PosFace	0-Back	VM Stimuli/AF02_HO.bmp
7	1	VM Stimuli/WM011_HO.bmp	lure	nontarget	PosFace	0-Back	VM Stimuli/AF02_HO.bmp
8	1	VM Stimuli/AF02_HO.bmp	target	Target	PosFace	0-Back	VM Stimuli/AF02_HO.bmp
9	1	VM Stimuli/AF02_HO.bmp	target	Target	PosFace	0-Back	VM Stimuli/AF02_HO.bmp
10	1	VM Stimuli/23M_HO.bmp	nonlure	nontarget	PosFace	0-Back	VM Stimuli/AF02_HO.bmp
