thisN,thisTrialN,thisRepN,ID,Weight,Stimulus,TargetType,CorrectResponse,StimType,BlockType,response.keys,response.corr,TargetStimulus,BlockLoop_Run1.thisRepN,BlockLoop_Run1.thisTrialN,BlockLoop_Run1.thisN,BlockLoop_Run1.thisIndex,TrialLoop_Run1.thisRepN,TrialLoop_Run1.thisTrialN,TrialLoop_Run1.thisN,TrialLoop_Run1.thisIndex,thisRow.t,notes,TitlePage.started,Continue.started,NbackTitle.started,TitlePage.stopped,Continue.keys,Continue.rt,Continue.duration,Instructions.started,Continue_2.started,Instruction.started,Instructions.stopped,Continue_2.keys,Continue_2.rt,Continue_2.duration,Instructions_2.started,Continue_3.started,Instruction_2.started,Target.started,TargetImage.started,Instructions_2.stopped,Continue_3.keys,Continue_3.rt,Continue_3.duration,Instructions_3.started,Continue_4.started,Instruction_3.started,Green_Border.started,Image_2Back.started,Image_1Back.started,Image_ToMatch.started,LEFTSIDESCREEN_CAPTION.started,RIGHTSIDESCREEN_CAPTION.started,Instructions_3.stopped,Continue_4.keys,Continue_4.rt,Continue_4.duration,Instructions_4.started,Continue_5.started,Instruction_4.started,Instructions_4.stopped,Continue_5.keys,Continue_5.rt,Continue_5.duration,Instructions_5.started,Continue_6.started,Instruction_5.started,Instructions_5.stopped,Continue_6.keys,Continue_6.rt,Continue_6.duration,Waiting4Scanner.started,Continue_7.started,Scanner_Instruction.started,Waiting4Scanner.stopped,Continue_7.keys,Continue_7.rt,Continue_7.duration,CueFix_Run1.started,Cue_Fix.started,Cue_Fix.stopped,CueFix_Run1.stopped,Cue2Back.started,Cue_2Back.started,Cue2Back.stopped,Cue0Back.started,Cue0Back.stopped,Stim.started,StimulusImage.started,LeftScreenResponse.started,RightScreenResponse.started,response.started,Stim.stopped,TrialLoop_Run1.response.keys,TrialLoop_Run1.response.corr,correctKey,pressedKey,accuracy,RT,date,time,version,run,block,id,stimulus,stimType,Fix.started,End_Fix.started,End_Fix.stopped,Fix.stopped,StimulusImage.stopped,LeftScreenResponse.stopped,RightScreenResponse.stopped,response.stopped,EndBlock_Run1.started,EndBlock_Run1.stopped,Cue_Target.started,Cue_TargetImage.started,Please enter the Subject ID:,Please enter the Session Number:,Enter subject's handedness:,Please select version:,date,expName,expVersion,psychopyVersion,frameRate,expStart,
1,1,0,2,1,VM Stimuli/12F_HO.bmp,nonlure,nontarget,PosFace,2-Back,None,0,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-23_13h21.39.855,,,,,,,,31.5909394165501,31.59708237554878,32.112631416879594,32.084257958456874,,,,,,,,,738982,1,Right,1,2026-01-23_13h21.39.855,EmoNback_Behavioral,,2025.1.1,None,2026-01-23 13h21.45.824303 -0600,
2,2,0,3,1,VM Stimuli/AF02_HO.bmp,nonlure,nontarget,PosFace,2-Back,None,0,,0,0,0,0,0,2,2,2,32.112631416879594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.08479145821184,,32.08481179177761,32.103581208735704,32.10361604113132,32.1069250414148,32.112631416879594,32.112631416879594,32.112631416879594,32.112631416879594,34.09525362588465,None,0,2,NA,NA,NA,2026-01-23_13h21.39.855,13:22:19,1,1,0,3,VM Stimuli/AF02_HO.bmp,PosFace,,,,,34.10662312526256,34.10662312526256,34.10662312526256,34.10662312526256,,,,,738982,1,Right,1,2026-01-23_13h21.39.855,EmoNback_Behavioral,,2025.1.1,None,2026-01-23 13h21.45.824303 -0600,
2,2,0,3,1,VM Stimuli/AF02_HO.bmp,nonlure,nontarget,PosFace,2-Back,None,0,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-23_13h21.39.855,,,,,,,,34.09564937558025,34.10662312526256,34.61388933379203,34.59013616666198,,,,,,,,,738982,1,Right,1,2026-01-23_13h21.39.855,EmoNback_Behavioral,,2025.1.1,None,2026-01-23 13h21.45.824303 -0600,
3,3,0,4,1,VM Stimuli/12F_HO.bmp,target,Target,PosFace,2-Back,None,0,,0,0,0,0,0,3,3,3,34.61388933379203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.59076820872724,,34.590792916715145,34.60639987513423,34.60643700044602,34.608316250145435,34.61388933379203,34.61388933379203,34.61388933379203,34.61388933379203,36.59648275002837,None,0,1,NA,NA,NA,2026-01-23_13h21.39.855,13:22:22,1,1,0,4,VM Stimuli/12F_HO.bmp,PosFace,,,,,36.60616545844823,36.60616545844823,36.60616545844823,36.60616545844823,,,,,738982,1,Right,1,2026-01-23_13h21.39.855,EmoNback_Behavioral,,2025.1.1,None,2026-01-23 13h21.45.824303 -0600,
3,3,0,4,1,VM Stimuli/12F_HO.bmp,target,Target,PosFace,2-Back,None,0,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-23_13h21.39.855,,,,,,,,36.59691383317113,36.60616545844823,37.11543016601354,37.09086870867759,,,,,,,,,738982,1,Right,1,2026-01-23_13h21.39.855,EmoNback_Behavioral,,2025.1.1,None,2026-01-23 13h21.45.824303 -0600,
4,4,0,5,1,VM Stimuli/WM011_HO.bmp,nonlure,nontarget,PosFace,2-Back,None,0,,0,0,0,0,0,4,4,4,37.11543016601354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.09134666621685,,37.09136716648936,37.107330000028014,37.10736437514424,37.11018425039947,37.11543016601354,37.11543016601354,37.11543016601354,37.11543016601354,39.0983231253922,None,0,2,NA,NA,NA,2026-01-23_13h21.39.855,13:22:24,1,1,0,5,VM Stimuli/WM011_HO.bmp,PosFace,,,,,39.10641183331609,39.10641183331609,39.10641183331609,39.10641183331609,,,,,738982,1,Right,1,2026-01-23_13h21.39.855,EmoNback_Behavioral,,2025.1.1,None,2026-01-23 13h21.45.824303 -0600,
4,4,0,5,1,VM Stimuli/WM011_HO.bmp,nonlure,nontarget,PosFace,2-Back,None,0,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-23_13h21.39.855,,,,,,,,39.09894920885563,39.10641183331609,39.623466458171606,39.59003308322281,,,,,,,,,738982,1,Right,1,2026-01-23_13h21.39.855,EmoNback_Behavioral,,2025.1.1,None,2026-01-23 13h21.45.824303 -0600,
5,5,0,6,1,VM Stimuli/HM04_HO.bmp,nonlure,nontarget,PosFace,2-Back,None,0,,0,0,0,0,0,5,5,5,39.623466458171606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.59061929117888,,39.59064412582666,39.61287291627377,39.61290758382529,39.61619762517512,39.623466458171606,39.623466458171606,39.623466458171606,39.623466458171606,41.60633237566799,None,0,2,NA,NA,NA,2026-01-23_13h21.39.855,13:22:27,1,1,0,6,VM Stimuli/HM04_HO.bmp,PosFace,,,,,41.61400866601616,41.61400866601616,41.61400866601616,41.61400866601616,,,,,738982,1,Right,1,2026-01-23_13h21.39.855,EmoNback_Behavioral,,2025.1.1,None,2026-01-23 13h21.45.824303 -0600,
5,5,0,6,1,VM Stimuli/HM04_HO.bmp,nonlure,nontarget,PosFace,2-Back,None,0,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-23_13h21.39.855,,,,,,,,41.60688245855272,41.61400866601616,42.13223454169929,42.10627837572247,,,,,,,,,738982,1,Right,1,2026-01-23_13h21.39.855,EmoNback_Behavioral,,2025.1.1,None,2026-01-23 13h21.45.824303 -0600,
6,6,0,7,1,VM Stimuli/AF02_HO.bmp,lure,nontarget,PosFace,2-Back,None,0,,0,0,0,0,0,6,6,6,42.13223454169929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.106836375780404,,42.10685795824975,42.122834666632116,42.12287091650069,42.12652941606939,42.13223454169929,42.13223454169929,42.13223454169929,42.13223454169929,44.123058375902474,None,0,2,NA,NA,NA,2026-01-23_13h21.39.855,13:22:29,1,1,0,7,VM Stimuli/AF02_HO.bmp,PosFace,,,,,,,,,,,,,738982,1,Right,1,2026-01-23_13h21.39.855,EmoNback_Behavioral,,2025.1.1,None,2026-01-23 13h21.45.824303 -0600,
6,6,0,7,1,VM Stimuli/AF02_HO.bmp,lure,nontarget,PosFace,2-Back,None,0,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-23_13h21.39.855,,,,,,,,44.12379850074649,44.13088200055063,,44.62312770821154,,,,,,,,,738982,1,Right,1,2026-01-23_13h21.39.855,EmoNback_Behavioral,,2025.1.1,None,2026-01-23 13h21.45.824303 -0600,
7,7,0,8,1,VM Stimuli/BF037_HO.bmp,nonlure,nontarget,PosFace,2-Back,None,0,,0,0,0,0,0,7,7,7,44.66158058308065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.62388616614044,,44.62392079178244,44.65028208307922,44.65031758323312,44.65336595848203,44.66158058308065,44.66158058308065,44.66158058308065,44.66158058308065,46.645482500083745,None,0,2,NA,NA,NA,2026-01-23_13h21.39.855,13:22:32,1,1,0,8,VM Stimuli/BF037_HO.bmp,PosFace,,,,,46.65608970820904,46.65608970820904,46.65608970820904,46.65608970820904,,,,,738982,1,Right,1,2026-01-23_13h21.39.855,EmoNback_Behavioral,,2025.1.1,None,2026-01-23 13h21.45.824303 -0600,
7,7,0,8,1,VM Stimuli/BF037_HO.bmp,nonlure,nontarget,PosFace,2-Back,None,0,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-23_13h21.39.855,,,,,,,,46.64601158350706,46.65608970820904,47.167116166092455,47.13948870822787,,,,,,,,,738982,1,Right,1,2026-01-23_13h21.39.855,EmoNback_Behavioral,,2025.1.1,None,2026-01-23 13h21.45.824303 -0600,
8,8,0,9,1,VM Stimuli/WM011_HO.bmp,lure,nontarget,PosFace,2-Back,None,0,,0,0,0,0,0,8,8,8,47.167116166092455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.14006466604769,,47.14008654188365,47.15656445827335,47.15660533308983,47.160883291624486,47.167116166092455,47.167116166092455,47.167116166092455,47.167116166092455,49.156274291686714,None,0,2,NA,NA,NA,2026-01-23_13h21.39.855,13:22:34,1,1,0,9,VM Stimuli/WM011_HO.bmp,PosFace,,,,,49.16366045828909,49.16366045828909,49.16366045828909,49.16366045828909,,,,,738982,1,Right,1,2026-01-23_13h21.39.855,EmoNback_Behavioral,,2025.1.1,None,2026-01-23 13h21.45.824303 -0600,
8,8,0,9,1,VM Stimuli/WM011_HO.bmp,lure,nontarget,PosFace,2-Back,None,0,,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-23_13h21.39.855,,,,,,,,49.15686741657555,49.16366045828909,49.67157566640526,49.646331291645765,,,,,,,,,738982,1,Right,1,2026-01-23_13h21.39.855,EmoNback_Behavioral,,2025.1.1,None,2026-01-23 13h21.45.824303 -0600,
9,9,0,10,1,VM Stimuli/BF037_HO.bmp,target,Target,PosFace,2-Back,None,0,,0,0,0,0,0,9,9,9,49.67157566640526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.64690695889294,,49.64692816603929,49.6641740007326,49.66421995870769,49.666281500831246,49.67157566640526,49.67157566640526,49.67157566640526,49.67157566640526,51.656248833052814,None,0,1,NA,NA,NA,2026-01-23_13h21.39.855,13:22:37,1,1,0,10,VM Stimuli/BF037_HO.bmp,PosFace,,,,,51.66406016610563,51.66406016610563,51.66406016610563,51.66406016610563,,,,,738982,1,Right,1,2026-01-23_13h21.39.855,EmoNback_Behavioral,,2025.1.1,None,2026-01-23 13h21.45.824303 -0600,
9,9,0,10,1,VM Stimuli/BF037_HO.bmp,target,Target,PosFace,2-Back,None,0,,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-23_13h21.39.855,,,,,,,,51.65693575050682,51.66406016610563,52.16326320823282,52.14687145873904,,,,,,,,,738982,1,Right,1,2026-01-23_13h21.39.855,EmoNback_Behavioral,,2025.1.1,None,2026-01-23 13h21.45.824303 -0600,
0,0,0,1,1,VM Stimuli/LF206_NC.bmp,nonlure,nontarget,NeutFace,0-Back,,,VM Stimuli/AF218_NC.bmp,1,0,1,0,0,0,0,0,52.66321454104036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.156638125889,52.16326320823282,52.66321454104036,52.646001416258514,52.65158387552947,,52.65161033347249,52.657286000438035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.149631208740175,52.14967908337712,52.66321454104036,52.66321454104036,,,,,,,,,,,
