ID	Weight	Stimulus	TargetType	CorrectResponse	StimType	BlockType	TargetStimulus
1	1	VM Stimuli/AM210_NC.bmp	nonlure	nontarget	NeutFace	0-Back	VM Stimuli/LM211_NC.bmp
2	1	VM Stimuli/AF216_NC.bmp	nonlure	nontarget	NeutFace	0-Back	VM Stimuli/LM211_NC.bmp
3	1	VM Stimuli/WF02_NC.bmp	nonlure	nontarget	NeutFace	0-Back	VM Stimuli/LM211_NC.bmp
4	1	VM Stimuli/LM211_NC.bmp	target	Target	NeutFace	0-Back	VM Stimuli/LM211_NC.bmp
5	1	VM Stimuli/14F_NC.bmp	nonlure	nontarget	NeutFace	0-Back	VM Stimuli/LM211_NC.bmp
6	1	VM Stimuli/WF02_NC.bmp	lure	nontarget	NeutFace	0-Back	VM Stimuli/LM211_NC.bmp
7	1	VM Stimuli/WM04_NC.bmp	nonlure	nontarget	NeutFace	0-Back	VM Stimuli/LM211_NC.bmp
8	1	VM Stimuli/AM210_NC.bmp	lure	nontarget	NeutFace	0-Back	VM Stimuli/LM211_NC.bmp
9	1	VM Stimuli/14F_NC.bmp	lure	nontarget	NeutFace	0-Back	VM Stimuli/LM211_NC.bmp
10	1	VM Stimuli/LM211_NC.bmp	target	Target	NeutFace	0-Back	VM Stimuli/LM211_NC.bmp
