ID	Weight	Stimulus	TargetType	CorrectResponse	StimType	BlockType
1	1	VM Stimuli/PL_046_SCENE03.bmp	nonlure	nontarget	Place	2-Back
2	1	VM Stimuli/PL_046_SCENE03.bmp	lure	nontarget	Place	2-Back
3	1	VM Stimuli/PL_045_SCENE02.bmp	nonlure	nontarget	Place	2-Back
4	1	VM Stimuli/PL_047_SCENE04.bmp	nonlure	nontarget	Place	2-Back
5	1	VM Stimuli/PL_045_SCENE02.bmp	target	Target	Place	2-Back
6	1	VM Stimuli/PL_049_SCENE06.bmp	nonlure	nontarget	Place	2-Back
7	1	VM Stimuli/PL_048_SCENE05.bmp	nonlure	nontarget	Place	2-Back
8	1	VM Stimuli/PL_047_SCENE04.bmp	lure	nontarget	Place	2-Back
9	1	VM Stimuli/PL_048_SCENE05.bmp	target	Target	Place	2-Back
10	1	VM Stimuli/PL_050_SCENE07.bmp	nonlure	nontarget	Place	2-Back
