ID	Weight	Stimulus	TargetType	CorrectResponse	StimType	BlockType
1	1	VM Stimuli/AF235_NC.bmp	nonlure	nontarget	NeutFace	2-Back
2	1	VM Stimuli/LF209_NC.bmp	nonlure	nontarget	NeutFace	2-Back
3	1	VM Stimuli/AF235_NC.bmp	target	Target	NeutFace	2-Back
4	1	VM Stimuli/WM036_NC.bmp	nonlure	nontarget	NeutFace	2-Back
5	1	VM Stimuli/BF201_NC.bmp	nonlure	nontarget	NeutFace	2-Back
6	1	VM Stimuli/BF201_NC.bmp	lure	nontarget	NeutFace	2-Back
7	1	VM Stimuli/WM036_NC.bmp	lure	nontarget	NeutFace	2-Back
8	1	VM Stimuli/BM04_NC.bmp	nonlure	nontarget	NeutFace	2-Back
9	1	VM Stimuli/AM04_NC.bmp	nonlure	nontarget	NeutFace	2-Back
10	1	VM Stimuli/BM04_NC.bmp	target	Target	NeutFace	2-Back
